RACE,CLASS,AGE,SEX,DEGREE,EDUC,MARITAL,ATTEND,INCOME16,SEI10,MADEG,PADEG,MAEDUC,PAEDUC,MASEI10,PASEI10,PRESTG10,PRES16,PRES12
2,2,74,2,2,15,2,2,14,32,1,1,13,12,12.6,59.1,35,C,1
1,1,73,1,2,15,5,7,17,38.8,0,0,10,6,12.6,14,47,C,1
1,3,40,1,3,16,1,1,20,57.3,4,1,20,12,92.8,84,43,DK,1
1,3,49,2,4,16,1,0,26,69.3,1,3,14,16,43.8,57.8,53,C,1
3,2,39,1,1,12,1,7,21,37.6,0,0,9,6,20.1,18.6,31,C,1
1,1,60,1,1,13,5,0,10,32,1,1,12,12,84.2,85.2,35,C,1
1,2,32,1,3,16,5,0,18,85.8,3,4,16,18,59.1,86.5,73,C,1
1,2,39,1,3,18,5,0,17,29.6,1,3,12,16,71.8,82.5,30,DK,1
1,3,40,2,4,18,5,7,22,45.3,3,0,16,9,13.6,25.2,17,DK,1
2,3,64,1,1,16,1,4,19,74.8,1,1,14,12,52,59.8,61,C,1
1,3,25,1,1,15,5,0,22,29.5,2,3,14,16,24.2,76.3,29,DK,3
1,1,56,1,1,12,1,1,6,25.2,1,1,12,12,76.3,28.7,28,DK,1
1,3,50,1,3,16,1,0,26,80.7,1,1,12,12,38.8,64.9,65,DK,1
1,3,69,1,1,13,3,0,18,61.4,0,1,6,13,14.8,58.1,46,C,1
1,3,38,2,2,19,3,1,25,36.2,1,1,12,12,25.7,46,43,DK,1
1,3,56,1,1,14,1,7,21,57.4,1,1,12,12,21.6,42.8,50,T,2
1,3,53,2,2,14,1,4,23,68.6,1,1,15,10,76.3,52.4,50,T,2
2,3,70,1,1,12,3,3,21,77.7,1,1,12,12,13.2,65.3,59,C,1
2,3,35,1,3,16,5,0,26,52,1,3,12,16,14,57.8,46,DK,1
1,3,64,2,3,16,1,1,1,84,0,1,10,12,39.7,62.7,73,C,1
1,2,31,1,1,15,5,0,2,19.7,1,4,12,18,81,81,45,T,3
1,4,41,2,1,20,3,3,20,75.5,1,1,14,12,72.6,65.1,59,T,1
1,3,42,2,3,16,3,2,26,75.7,1,3,14,16,52,67.7,63,C,1
1,3,45,1,3,16,1,8,23,76.3,1,3,14,16,26.1,83.8,60,T,2
1,3,49,2,4,17,1,3,22,67.8,1,4,12,18,38.8,80.7,52,C,1
1,3,31,2,3,17,1,2,21,61.9,3,1,16,12,84.2,22.9,51,T,2
1,3,42,2,3,16,1,8,20,89.4,3,3,16,16,59.1,80.7,61,C,1
1,3,47,1,3,16,1,7,19,51.7,3,3,16,16,80.9,56.9,31,T,2
1,2,48,2,2,16,1,2,24,84.2,1,1,16,16,80.9,57.8,64,T,2
1,2,53,2,1,12,2,0,13,24.2,1,1,12,11,73.9,46,48,DK,1
1,1,64,1,1,12,5,1,11,27,1,0,12,10,24.2,26.8,38,T,1
1,2,63,2,3,16,3,5,16,76.7,1,1,12,13,25.7,67.7,56,C,1
1,2,70,2,1,12,2,3,9,54.6,1,1,12,12,62.9,43.1,41,C,1
2,2,29,1,1,12,5,0,15,23.8,2,0,16,10,77.9,36.4,25,C,1
2,3,25,1,1,12,5,5,16,17.1,4,1,16,12,84.2,40,24,DK,1
1,2,32,2,1,14,1,0,20,52,1,1,12,12,25.7,46.2,46,C,1
1,2,69,1,2,14,3,3,20,25.2,0,0,8,8,32.6,25.2,28,T,1
1,3,58,1,3,16,2,3,24,67.7,1,1,12,12,38.8,46.5,39,C,1
1,2,51,1,1,12,1,0,22,59.1,1,1,12,12,38.8,38.1,53,T,2
1,2,59,2,4,20,1,7,16,80.9,1,0,12,8,81,76.3,61,T,2
